iter	Passed	Remaining
0	185	185203
1	205	102569
2	225	74925
3	246	61499
4	266	52982
5	294	48821
6	337	47862
7	404	50163
8	445	49083
9	469	46438
10	494	44492
11	518	42721
12	543	41238
13	566	39913
14	583	38283
15	602	37029
16	620	35859
17	637	34787
18	658	33979
19	674	33031
20	691	32229
21	707	31454
22	731	31084
23	757	30801
24	781	30490
25	801	30036
26	828	29870
27	851	29564
28	877	29382
29	997	32267
30	1061	33175
31	1099	33267
32	1132	33187
33	1166	33136
34	1199	33063
35	1224	32781
36	1250	32553
37	1274	32264
38	1305	32180
39	1328	31874
40	1349	31559
41	1378	31448
42	1398	31135
43	1426	30984
44	1444	30665
45	1463	30350
46	1488	30183
47	1511	29986
48	1542	29943
49	1574	29910
50	1600	29787
51	1627	29666
52	1654	29560
53	1680	29437
54	1708	29357
55	1729	29159
56	1754	29025
57	1773	28803
58	1791	28578
59	1812	28391
60	1843	28373
61	1868	28265
62	1893	28167
63	1923	28133
64	1944	27978
65	1972	27907
66	1993	27754
67	2016	27638
68	2042	27554
69	2072	27531
70	2093	27394
71	2126	27402
72	2162	27454
73	2208	27632
74	2235	27570
75	2261	27495
76	2287	27419
77	2308	27286
78	2334	27219
79	2355	27089
80	2376	26964
81	2401	26885
82	2423	26774
83	2450	26721
84	2471	26609
85	2493	26495
86	2520	26449
87	2541	26335
88	2569	26303
89	2591	26202
90	2640	26379
91	2673	26381
92	2693	26265
93	2719	26211
94	2817	26842
95	2850	26846
96	2887	26875
97	2934	27013
98	2985	27171
99	3022	27198
100	3063	27269
101	3102	27309
102	3171	27616
103	3203	27596
104	3250	27708
105	3266	27553
106	3284	27413
107	3302	27272
108	3318	27124
109	3333	26974
110	3355	26870
111	3371	26732
112	3391	26620
113	3413	26528
114	3432	26417
115	3451	26301
116	3467	26166
117	3483	26038
118	3501	25921
119	3518	25803
120	3536	25687
121	3552	25569
122	3573	25477
123	3596	25409
124	3621	25353
125	3678	25515
126	3717	25554
127	3794	25849
128	3838	25917
129	3904	26129
130	3972	26352
131	4052	26648
132	4099	26725
133	4136	26732
134	4218	27032
135	4285	27227
136	4351	27412
137	4400	27488
138	4470	27694
139	4670	28690
140	4818	29355
141	4905	29637
142	4955	29697
143	5072	30155
144	5168	30475
145	5201	30426
146	5240	30406
147	5267	30321
148	5307	30313
149	5365	30406
150	5444	30610
151	5477	30561
152	5500	30448
153	5526	30357
154	5559	30306
155	5662	30635
156	5728	30759
157	5846	31155
158	5938	31412
159	5996	31482
160	6071	31641
161	6115	31633
162	6179	31730
163	6249	31857
164	6327	32020
165	6367	31989
166	6399	31920
167	6425	31820
168	6447	31705
169	6479	31634
170	6505	31537
